what was the practical ceiling of the effective heavy guns ?	25,000 ft ( 7,600 m )	it was 25,000 ft ( 7,600 m )	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_clause_is_verb_final_verb_answer R_no_prep_added	['A1N2O9SRQSVL03', 'A36EOEBVBUTO85', 'A1GKD3NG1NNHRP']	[0.9, 0.6666666666666666, 0.57]	11	6	8	1	0	0	0	0	0	0	0	0	0	-3.0288467407226562	-2.991609053178267	-1.6120790243148804	-1.7138999700546265	597.6443878826569	552.4694894146257	27.09936613827976	33.37848647882705	0	0	2	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.09090909090909091	0.125	0.10526315789473685	3
what was the practical ceiling of the effective heavy guns ?	25,000 ft ( 7,600 m )	they was as the 25,000 ft ( 7,600 m )	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_clause_is_verb_final_verb_answer R_custom_prep_added R_custom_det_added	[]	[]	11	6	10	1	0	0	0	0	0	0	0	0	0	-3.0288467407226562	-2.991609053178267	-1.9590526580810548	-2.139559745788574	597.6443878826569	552.4694894146257	60.388878169326716	88.11590668838397	0	0	2	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.18181818181818182	0.2	0.1904761904761905	0
what was the practical ceiling of the effective heavy guns ?	25,000 ft ( 7,600 m )	he was by the 25,000 ft ( 7,600 m )	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_clause_is_verb_final_verb_answer R_custom_prep_added R_custom_det_added	[]	[]	11	6	10	1	0	0	0	0	0	0	0	0	0	-3.0288467407226562	-2.991609053178267	-1.6098859786987305	-1.7442798614501953	597.6443878826569	552.4694894146257	29.07586929540558	38.52201224497976	0	0	2	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.18181818181818182	0.2	0.1904761904761905	0
which indonesian leader co-founded the non-aligned movement with tito ?	nehru	nehru co-founded the non-aligned movement	R_3 R_pp_in_clause R_pp_in_clause_removed R_answer_clause_pp R_no_prep_added	['A1N2O9SRQSVL03', 'A36EOEBVBUTO85', 'ASI6KXF2GAUTQ', 'A1GKD3NG1NNHRP', 'A3GWRDHAURRNK6']	[0.9, 0.6666666666666666, 0.6874125874125874, 0.57, 0.7306122448979592]	10	1	5	0	0	0	0	0	0	1	0	0	1	-3.053605651855469	-3.050920104980469	-3.898617172241211	-3.7396400451660154	597.0423500296845	593.6954653580714	1773.5671800288253	1307.2742426106042	0	0	1	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.4	0.8	0.5333333333333333	5
which indonesian leader co-founded the non-aligned movement with tito ?	nehru	because a nehru co-founded the non-aligned movement	R_3 R_pp_in_clause R_pp_in_clause_removed R_answer_clause_pp R_custom_prep_added R_custom_det_added	[]	[]	10	1	7	0	0	0	0	0	0	1	0	0	1	-3.053605651855469	-3.050920104980469	-3.46417726789202	-3.3695000239780972	597.0423500296845	593.6954653580714	1074.3730589636446	887.7946447162007	0	0	1	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.4	0.5714285714285714	0.47058823529411764	0
which type of bird nests are no more than a scrape on the ground ?	albatross	about albatross are no more than a scrape	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_pp_in_np_in_wh R_np_in_wh R_missing_prep R_pp_in_vp_not_removed R_pp_in_clause_removed R_clause_not_empty R_answer_is_verb_clause_final_verb R_custom_prep_added	[]	[]	15	1	8	0	0	0	0	0	0	1	0	0	1	-2.553785196940104	-2.2548800150553387	-3.413330554962158	-3.561737298965454	247.8412678760117	130.00199413453072	1081.6122676894215	1465.5097434435513	0	0	2	0	0	3	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.4	0.75	0.5217391304347827	0
which type of bird nests are no more than a scrape on the ground ?	albatross	it are by albatross	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_pp_in_np_in_wh R_np_in_wh R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_clause_is_verb_final_verb_answer R_custom_prep_added	[]	[]	15	1	4	0	0	0	0	0	0	1	0	0	1	-2.553785196940104	-2.2548800150553387	-4.806297302246094	-5.046424865722656	247.8412678760117	130.00199413453072	6999.0297866171495	10892.80910075333	0	0	2	0	0	3	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.06666666666666667	0.25	0.10526315789473685	0
which type of bird nests are no more than a scrape on the ground ?	albatross	because an albatross are it	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_pp_in_np_in_wh R_np_in_wh R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_answer_is_verb_clause_final_verb R_custom_prep_added R_custom_det_added	[]	[]	15	1	5	0	0	0	0	0	0	1	0	0	1	-2.553785196940104	-2.2548800150553387	-4.266515731811523	-4.175319671630859	247.8412678760117	130.00199413453072	3592.772985136458	3016.0119620542564	0	0	2	0	0	3	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.06666666666666667	0.2	0.1	0
which type of bird nests are no more than a scrape on the ground ?	albatross	because the albatross are it	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_pp_in_np_in_wh R_np_in_wh R_missing_prep R_pp_in_vp_not_removed R_np_replaced_with_pronoun R_answer_is_verb_clause_final_verb R_custom_prep_added R_custom_det_added	[]	[]	15	1	5	0	0	0	0	0	0	1	0	0	1	-2.553785196940104	-2.2548800150553387	-4.182343673706055	-4.046719741821289	247.8412678760117	130.00199413453072	3056.9363401268915	2356.4946142369326	0	0	2	0	0	3	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.13333333333333333	0.4	0.2	0
which type of bird nests are no more than a scrape on the ground ?	albatross	no more are from the albatross type	R_2 R_2SQ_children R_no_final_verb R_pp_in_clause R_pp_in_np_in_wh R_np_in_wh R_missing_prep R_np_in_wh_added R_pp_in_vp_not_removed R_pp_in_clause_removed R_clause_not_empty R_clause_is_verb_final_verb_answer R_custom_prep_added R_custom_det_added	[]	[]	15	1	7	0	0	0	0	0	0	1	0	0	1	-2.553785196940104	-2.2548800150553387	-3.5879429408482144	-3.626143046787807	247.8412678760117	130.00199413453072	1378.6374548581036	1488.9330357244532	0	0	2	0	0	3	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.3333333333333333	0.7142857142857143	0.4545454545454545	0
